Date,Publisher,Identifiers,Accrual Campaign Name,Device,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Faridabad,,,,,,,2737.0,46.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Ghaziabad,,,,,,,11824.0,110.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Ghaziabad,,,,,,,4921.0,39.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Ghaziabad,,,,,,,7621.0,124.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,"Greater Noida,Uttar Pradesh,India",,,,,,,3536.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,"Greater Noida,Uttar Pradesh,India",,,,,,,2305.0,41.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Gurgaon,,,,,,,5898.0,62.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Gurgaon,,,,,,,12035.0,69.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Gurgaon,,,,,,,7622.0,114.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Hyderabad,,,,,,,8407.0,131.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Hyderabad,,,,,,,9282.0,75.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Hyderabad,,,,,,,7615.0,35.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Jaipur,,,,,,,3781.0,54.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Jaipur,,,,,,,4167.0,76.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Jaipur,,,,,,,7655.0,145.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Mumbai,,,,,,,12082.0,154.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Mumbai,,,,,,,2327.0,45.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Mumbai,,,,,,,7680.0,151.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,New Delhi,,,,,,,10186.0,74.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,New Delhi,,,,,,,10144.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan
