Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Watches,Delhi NCR,242656,2326,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Apparel,Delhi NCR,242236,2324,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Jewellery,Delhi NCR,242174,2273,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Hand Bags,Delhi NCR,239929,2239,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Mens Apparel,Delhi NCR,242233,2278,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Travel luaggage,Delhi NCR,241532,2298,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hydrabad_Footwear,Hyderabad,196935,1885,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Watches,Hyderabad,193854,1803,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Jewellery,Hyderabad,194459,1897,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderbad_Mens Apparel,Hyderabad,193694,1860,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Hand Bags,Hyderabad,191604,1797,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Travel luaggage,Hyderabad,193146,1938,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderbad_Luxbeauty,Hyderabad,193874,1896,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderbad_Apparel,Hyderabad,193213,1853,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Hyderabad _Bag,Hyderabad,192352,1862,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Mumbai_Hand Bags,Mumbai + Thane,190378,1850,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Mumbai_Luxbeauty,Mumbai + Thane,189342,1734,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Mumbai_Watches,Mumbai + Thane,170464,1396,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Mumbai_Mens Apparel,Mumbai + Thane,192331,1940,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Mumbai _Bag,Mumbai + Thane,185623,2010,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Mumbai _Apparel,Mumbai + Thane,198522,1958,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Mumbai_Footwear,Mumbai + Thane,199893,2007,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Mumbai_Travel luaggage,Mumbai + Thane,196472,1909,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Mumbai_Jewellary,Mumbai + Thane,112468,857,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_bag,,533555,5598,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Footwear,,259952,2586,,,,,,,,,,,,,,,
