Date,Publisher,Campaign Name,Accrual campaign name,Concept Name,GEO,Impressions,Clicks
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,114093,1547
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,284432,3990
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,30445,392
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,30800,385
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,31185,426
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,274467,3870
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,29445,392
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,29610,407
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,29814,356
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,159714,2451
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,16523,199
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,16924,209
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_DELHI NCR_W1 to W4 - 14th Oct to 10th Nov,DELHI NCR,16889,209
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,11438,160
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,11685,146
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,11247,133
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,11676,136
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,51005,630
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,55336,738
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,10478,131
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,10595,120
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,25297,303
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,53070,607
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,7613,90
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,7754,87
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,19468,210
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,55882,711
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,7306,83
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,7552,86
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,7335,84
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,45368,532
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,28124,367
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_HYDRABAD_W1 to W4 - 14th Oct to 10th Nov,,7412,69
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,9312,131
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,9372,122
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,9056,113
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,9364,93
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,51454,657
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,5758,64
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,5464,65
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,5759,70
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,42964,503
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,4675,57
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,4690,57
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,4570,57
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,40974,536
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,4603,53
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,5058,67
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,4580,52
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,40354,522
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,4523,65
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_AHEMADABAD_ W1 to W4 - 14th Oct to 10th Nov,,4425,42
