Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 990x505,"tamil nadu Excluding chennai, coimbatore","37,051",153,3334.59
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 990x505,"tamil nadu Excluding chennai, coimbatore","2,784",10,250.56
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 2 - Pay in 1-click - 600x600,ahmedabad,"3,999",51,359.91
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 2 - Pay in 1-click - 600x600,ahmedabad,"4,365",33,392.85
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 2 - Pay in 1-click - 600x600,ahmedabad,"2,590",19,233.1
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 2 - Pay in 1-click - 600x600,ahmedabad,"2,849",12,256.41
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 2 - Pay in 1-click - 600x600,ahmedabad,"9,069",117,816.21
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 2 - Pay in 1-click - 600x600,ahmedabad,954,12,85.86
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 600x600,ahmedabad,"4,833",56,434.97
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 600x600,ahmedabad,"2,770",22,249.3
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 600x600,ahmedabad,"3,680",45,331.2
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 600x600,ahmedabad,"2,435",9,219.15
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 600x600,ahmedabad,"13,521",177,1216.89
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 600x600,ahmedabad,"6,765",91,608.85
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 990x505,ahmedabad,"3,075",20,276.75
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 990x505,ahmedabad,"2,400",10,216
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 990x505,ahmedabad,"1,914",11,172.26
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 990x505,ahmedabad,"3,438",18,309.42
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 990x505,ahmedabad,"13,684",148,1231.56
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 4 - Mobile recharge KV - 990x505,ahmedabad,"3,265",18,293.85
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 3 - Zero convenience fee - 990x505,ahmedabad,"3,229",25,290.61
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Ahd_2023-10-14_2023-11-20,Ahmedabad - Set 3 - Zero convenience fee - 990x505,ahmedabad,"2,710",20,243.9
