Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 600x600,"maharashtra excluding mumbai,pune,thane","8,991",61,809.19
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 600x600,"maharashtra excluding mumbai,pune,thane","23,921",181,2152.89
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 600x600,"maharashtra excluding mumbai,pune,thane","93,923",953,8453.07
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 600x600,"maharashtra excluding mumbai,pune,thane","65,449",794,5890.41
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 600x600,"maharashtra excluding mumbai,pune,thane","78,330",1074,7049.7
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 1080x2592,"maharashtra excluding mumbai,pune,thane",2,0,0.18
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO MAH_2023-10-20_2023-10-30,ROMH - Set 2 - Recharge - 1080x2592,"maharashtra excluding mumbai,pune,thane",331,24,29.79
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 1080x2592,karnataka excluding bengaluru,2,0,0.18
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 1080x2592,karnataka excluding bengaluru,13,0,1.17
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 600x600,karnataka excluding bengaluru,"20,543",197,1848.87
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 600x600,karnataka excluding bengaluru,"14,237",117,1281.33
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 600x600,karnataka excluding bengaluru,"97,834",959,8805.06
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 600x600,karnataka excluding bengaluru,"17,686",138,1591.74
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 600x600,karnataka excluding bengaluru,"12,432",109,1118.88
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 990x505,karnataka excluding bengaluru,"8,283",47,745.47
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 990x505,karnataka excluding bengaluru,"6,662",55,599.58
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 990x505,karnataka excluding bengaluru,"99,130",721,8921.7
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 990x505,karnataka excluding bengaluru,"11,097",69,998.73
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO Karnataka_2023-10-20_2023-10-30,Rest of karnataka - Set 1 - Bill Payment - 990x505,karnataka excluding bengaluru,898,19,80.82
